Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,CT,Connecticut,Windham,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,16.8,,,13.3,20.6,116418,09015,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.9,,,4.8,7.2,896854,09003,HLTHOUT,COPD,CrdPrv,COPD,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,New London,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,11.8,,,9.9,14.0,268805,09011,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New London,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,19.5,,,16.3,23.2,268805,09011,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.6,,,19.1,24.6,896854,09003,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,36.1,,,32.5,39.7,185000,09005,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Hartford,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,9.6,,,8.3,11.0,896854,09003,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.6,,,6.4,8.8,164759,09007,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.9,,,7.7,10.2,959768,09001,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Litchfield,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.9,,,7.5,10.6,185000,09005,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Middlesex,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6.7,,,5.8,7.7,164759,09007,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3,,,2.7,3.4,896854,09003,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.8,6.4,185000,09005,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,New London,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16,,,13.7,18.7,268805,09011,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.6,,,9.4,12.0,164759,09007,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Litchfield,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,11.9,,,9.7,14.3,185000,09005,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-73.2354042 41.7918833),1042
2020,CT,Connecticut,Tolland,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76,,,72.0,79.7,150293,09013,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,New Haven,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,87.8,,,85.6,90.0,863700,09009,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,New Haven,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.4,,,11.8,15.2,863700,09009,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Windham,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.8,3.9,116418,09015,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.3,,,4.3,6.5,150293,09013,HLTHOUT,COPD,CrdPrv,COPD,POINT (-72.3409779 41.8580807),38
2020,CT,Connecticut,New London,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,81.9,,,79.8,83.6,268805,09011,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Windham,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.5,,,6.6,10.7,116418,09015,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Hartford,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,86,,,84.4,87.6,896854,09003,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.9,,,25.3,30.7,959768,09001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-73.3670614 41.2274128),1040
2020,CT,Connecticut,New Haven,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,70.4,,,67.8,73.2,863700,09009,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.3,,,5.4,7.2,116418,09015,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Windham,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,29.4,,,25.3,33.7,116418,09015,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Middlesex,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,73.7,,,70.3,76.5,164759,09007,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Middlesex,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.8,,,7.4,10.2,164759,09007,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Middlesex,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.4,,,13.1,17.8,164759,09007,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,25.8,,,22.7,29.1,896854,09003,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Hartford,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,12.4,,,10.5,14.5,896854,09003,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Hartford,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.9,,,13.1,16.9,896854,09003,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Hartford,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.3,,,3.7,5.0,896854,09003,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.2,,,9.0,11.5,185000,09005,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.5,6.8,268805,09011,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Litchfield,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.1,,,5.0,7.3,185000,09005,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Litchfield,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.4,,,2.9,4.0,185000,09005,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-73.2354042 41.7918833),1042
2020,CT,Connecticut,New Haven,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.5,,,34.3,36.6,863700,09009,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.7,6.9,150293,09013,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Hartford,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,77.9,,,75.0,81.1,896854,09003,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Tolland,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,10.7,,,8.9,12.6,150293,09013,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.5,,,5.5,7.6,185000,09005,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Tolland,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,6.1,,,4.7,7.8,150293,09013,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-72.3409779 41.8580807),38
2020,CT,Connecticut,Fairfield,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,77.6,,,75.1,79.6,959768,09001,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Middlesex,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.8,,,4.8,6.8,164759,09007,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.9,,,5.1,6.9,164759,09007,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Windham,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.6,,,3.9,5.4,116418,09015,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,New Haven,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,75.7,,,73.4,77.9,863700,09009,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-72.9002033 41.3497185),1044
2020,CT,Connecticut,New Haven,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,87,,,85.5,88.5,863700,09009,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Tolland,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,9.7,,,8.1,11.4,150293,09013,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Windham,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.4,,,13.8,19.4,116418,09015,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,24.1,,,20.5,27.8,116418,09015,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,New London,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,56.1,,,48.8,62.9,268805,09011,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Middlesex,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,18.2,,,14.9,21.7,164759,09007,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-72.5227802 41.4330028),1043
2020,CT,Connecticut,Middlesex,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,47.9,,,41.2,55.1,164759,09007,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Litchfield,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,58.6,,,54.1,63.0,185000,09005,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Fairfield,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,11.3,,,9.0,14.0,959768,09001,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Middlesex,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,88.4,,,86.1,90.7,164759,09007,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.5,,,4.8,6.3,896854,09003,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-72.7329157 41.8060534),1041
2020,CT,Connecticut,Hartford,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,73.8,,,71.3,76.0,896854,09003,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-72.7329157 41.8060534),1041
2020,CT,Connecticut,Hartford,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,78.8,,,75.8,81.5,896854,09003,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,23.1,,,20.3,25.9,185000,09005,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.1,,,19.0,25.3,164759,09007,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,22.1,,,19.9,24.6,896854,09003,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.7,,,4.5,7.0,164759,09007,HLTHOUT,COPD,CrdPrv,COPD,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,30.7,,,26.1,35.7,268805,09011,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Litchfield,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,19.4,,,15.7,23.3,185000,09005,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.5,6.6,863700,09009,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-72.9002033 41.3497185),1044
2020,CT,Connecticut,New Haven,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,52,,,45.9,58.3,863700,09009,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,21.4,,,18.8,24.1,164759,09007,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-72.5227802 41.4330028),1043
2020,CT,Connecticut,Litchfield,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,71.2,,,67.6,74.6,185000,09005,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Windham,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.2,,,13.1,17.4,116418,09015,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,34.8,,,31.7,38.0,150293,09013,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Litchfield,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,90,,,88.0,91.9,185000,09005,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Hartford,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11.5,,,9.7,13.4,896854,09003,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-72.7329157 41.8060534),1041
2020,CT,Connecticut,Litchfield,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,84.6,,,82.1,86.9,185000,09005,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-73.2354042 41.7918833),1042
2020,CT,Connecticut,Windham,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,74.2,,,70.0,78.1,116418,09015,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,New Haven,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.4,,,5.4,12.1,863700,09009,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Windham,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.3,,,3.6,5.0,116418,09015,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.1,,,4.3,10.8,164759,09007,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Tolland,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,16.7,,,14.2,19.5,150293,09013,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Fairfield,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,87.9,,,85.8,90.0,959768,09001,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Fairfield,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.1,,,4.4,5.8,959768,09001,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,25,,,21.4,28.9,959768,09001,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-73.3670614 41.2274128),1040
